Country,Counts,Percentage
AD,365,0.7227722772277227
AE,384,0.7603960396039604
AG,380,0.7524752475247525
AL,401,0.7940594059405941
AM,382,0.7564356435643564
AO,375,0.7425742574257426
AR,420,0.8316831683168316
AT,384,0.7603960396039604
AU,399,0.7900990099009901
AZ,382,0.7564356435643564
BA,403,0.7980198019801981
BB,382,0.7564356435643564
BD,367,0.7267326732673267
BE,401,0.7940594059405941
BF,346,0.6851485148514852
BG,405,0.801980198019802
BH,384,0.7603960396039604
BI,375,0.7425742574257426
BJ,375,0.7425742574257426
BN,346,0.6851485148514852
BO,419,0.8297029702970297
BR,415,0.8217821782178217
BS,381,0.7544554455445545
BT,361,0.7148514851485148
BW,379,0.7504950495049505
BY,349,0.691089108910891
BZ,392,0.7762376237623763
CA,466,0.9227722772277228
CD,375,0.7425742574257426
CG,375,0.7425742574257426
CH,389,0.7702970297029703
CI,396,0.7841584158415842
CL,420,0.8316831683168316
CM,396,0.7841584158415842
CO,420,0.8316831683168316
CR,428,0.8475247524752475
CV,380,0.7524752475247525
CW,324,0.6415841584158416
CY,403,0.7980198019801981
CZ,405,0.801980198019802
DE,382,0.7564356435643564
DJ,376,0.7445544554455445
DK,403,0.7980198019801981
DM,383,0.7584158415841584
DO,420,0.8316831683168316
DZ,386,0.7643564356435644
EC,419,0.8297029702970297
EE,405,0.801980198019802
EG,384,0.7603960396039604
ES,404,0.8
FI,403,0.7980198019801981
FJ,374,0.7405940594059406
FM,377,0.7465346534653465
FR,389,0.7702970297029703
GA,375,0.7425742574257426
GB,384,0.7603960396039604
GD,380,0.7524752475247525
GE,347,0.6871287128712872
GH,401,0.7940594059405941
GM,379,0.7504950495049505
GN,376,0.7445544554455445
GQ,375,0.7425742574257426
GR,403,0.7980198019801981
GT,420,0.8316831683168316
GW,379,0.7504950495049505
GY,380,0.7524752475247525
HK,400,0.7920792079207921
HN,420,0.8316831683168316
HR,403,0.7980198019801981
HT,374,0.7405940594059406
HU,405,0.801980198019802
ID,397,0.7861386138613862
IE,393,0.7782178217821782
IL,401,0.7940594059405941
IN,396,0.7841584158415842
IQ,363,0.7188118811881188
IS,402,0.7960396039603961
IT,403,0.7980198019801981
JM,380,0.7524752475247525
JO,362,0.7168316831683168
JP,361,0.7148514851485148
KE,399,0.7900990099009901
KG,384,0.7603960396039604
KH,400,0.7920792079207921
KI,350,0.693069306930693
KM,376,0.7445544554455445
KN,380,0.7524752475247525
KR,404,0.8
KW,385,0.7623762376237624
KZ,384,0.7603960396039604
LA,378,0.7485148514851485
LB,384,0.7603960396039604
LC,380,0.7524752475247525
LI,374,0.7405940594059406
LK,393,0.7782178217821782
LR,375,0.7425742574257426
LS,375,0.7425742574257426
LT,405,0.801980198019802
LU,401,0.7940594059405941
LV,405,0.801980198019802
LY,365,0.7227722772277227
MA,385,0.7623762376237624
MC,365,0.7227722772277227
MD,380,0.7524752475247525
ME,403,0.7980198019801981
MG,375,0.7425742574257426
MH,350,0.693069306930693
MK,403,0.7980198019801981
ML,375,0.7425742574257426
MN,378,0.7485148514851485
MO,377,0.7465346534653465
MR,373,0.7386138613861386
MT,403,0.7980198019801981
MU,382,0.7564356435643564
MV,360,0.7128712871287128
MW,375,0.7425742574257426
MX,457,0.904950495049505
MY,398,0.7881188118811882
MZ,379,0.7504950495049505
NA,379,0.7504950495049505
NE,379,0.7504950495049505
NG,401,0.7940594059405941
NI,420,0.8316831683168316
NL,404,0.8
NO,405,0.801980198019802
NP,356,0.7049504950495049
NR,350,0.693069306930693
NZ,400,0.7920792079207921
OM,384,0.7603960396039604
PA,420,0.8316831683168316
PE,419,0.8297029702970297
PG,372,0.7366336633663366
PH,401,0.7940594059405941
PK,368,0.7287128712871287
PL,405,0.801980198019802
PS,351,0.695049504950495
PT,404,0.8
PW,354,0.700990099009901
PY,419,0.8297029702970297
QA,384,0.7603960396039604
RO,406,0.803960396039604
RS,403,0.7980198019801981
RW,376,0.7445544554455445
SA,384,0.7603960396039604
SB,355,0.7029702970297029
SC,376,0.7445544554455445
SE,371,0.7346534653465346
SG,399,0.7900990099009901
SI,405,0.801980198019802
SK,405,0.801980198019802
SL,375,0.7425742574257426
SM,351,0.695049504950495
SN,397,0.7861386138613862
SR,381,0.7544554455445545
ST,374,0.7405940594059406
SV,420,0.8316831683168316
SZ,379,0.7504950495049505
TD,381,0.7544554455445545
TG,375,0.7425742574257426
TH,401,0.7940594059405941
TJ,382,0.7564356435643564
TL,383,0.7584158415841584
TN,387,0.7663366336633664
TO,350,0.693069306930693
TR,408,0.807920792079208
TT,402,0.7960396039603961
TV,350,0.693069306930693
TW,400,0.7920792079207921
TZ,377,0.7465346534653465
UA,408,0.807920792079208
UG,379,0.7504950495049505
US,505,1.0
UY,415,0.8217821782178217
UZ,357,0.7069306930693069
VC,381,0.7544554455445545
VE,419,0.8297029702970297
VN,400,0.7920792079207921
VU,336,0.6653465346534654
WS,350,0.693069306930693
XK,403,0.7980198019801981
ZA,403,0.7980198019801981
ZM,375,0.7425742574257426
ZW,379,0.7504950495049505
